Property,Type,Test Size,Accuracy,Primary Metric
TOX21 - AHR,Classification,470,0.9383,0.7965 (AUC)
TOX21 - AR,Classification,470,0.9851,0.7723 (AUC)
TOX21 - ARE,Classification,470,0.9404,0.6435 (AUC)
TOX21 - AROMATASE,Classification,470,0.9915,0.7843 (AUC)
TOX21 - AR_LBD,Classification,470,0.9915,0.9072 (AUC)
TOX21 - ATAD5,Classification,470,0.9979,0.8955 (AUC)
TOX21 - ER,Classification,470,0.9340,0.6017 (AUC)
TOX21 - ER_LBD,Classification,470,0.9851,0.7239 (AUC)
TOX21 - HSE,Classification,470,0.9872,0.6081 (AUC)
TOX21 - MMP,Classification,470,0.9532,0.7161 (AUC)
TOX21 - P53,Classification,470,0.9936,0.6453 (AUC)
TOX21 - PPAR_GAMMA,Classification,470,0.9957,0.9188 (AUC)
ESOL - SOLUBILITY,Regression,170,-,0.7984 (R²)
ChEMBL - TARGET_1_PROTHROMBIN,Classification,1581,0.9639,0.9641 (AUC)
ChEMBL - TARGET_2_CANNABINOID_RECEPTOR_1,Classification,1581,0.9133,0.9306 (AUC)
ChEMBL - TARGET_3_VOLTAGE_GATED,Classification,1581,0.9766,0.9408 (AUC)
