Assay,Accuracy,Precision,Recall,F1 Score,AUC-ROC,PR-AUC
AHR,0.9383,0.0000,0.0000,0.0000,0.7965,0.2111
AR,0.9851,0.0000,0.0000,0.0000,0.7723,0.1749
ARE,0.9404,0.0000,0.0000,0.0000,0.6435,0.1002
AROMATASE,0.9915,0.0000,0.0000,0.0000,0.7843,0.0213
AR_LBD,0.9915,0.0000,0.0000,0.0000,0.9072,0.2102
ATAD5,0.9979,0.0000,0.0000,0.0000,0.8955,0.0100
ER,0.9340,0.0000,0.0000,0.0000,0.6017,0.1236
ER_LBD,0.9851,0.0000,0.0000,0.0000,0.7239,0.0935
HSE,0.9872,0.0000,0.0000,0.0000,0.6081,0.0191
MMP,0.9532,0.0000,0.0000,0.0000,0.7161,0.1069
P53,0.9936,0.0000,0.0000,0.0000,0.6453,0.0205
PPAR_GAMMA,0.9957,0.0000,0.0000,0.0000,0.9188,0.0246
