is_drug_like,mol weight,logp,hydrogen donors,hydrogen acceptors
Yes,455.6020000000001,4.070040000000002,2,3
No,498.96700000000027,5.018400000000004,2,5
No,591.6150000000004,7.6976000000000075,1,5
Yes,448.61100000000016,2.770500000000003,3,4
Yes,304.393,4.315200000000003,1,3
No,528.7180000000003,6.640700000000008,2,6
No,537.7290000000002,6.806780000000008,1,6
Yes,368.48100000000017,2.3721699999999997,4,3
Yes,444.91900000000027,3.632100000000001,3,4
No,512.7190000000004,6.935100000000007,1,5
Yes,362.433,2.5619700000000005,4,3
Yes,496.4380000000001,4.760000000000004,2,3
No,526.7460000000001,7.243520000000009,1,5
No,542.745,6.943700000000009,1,6
No,541.7610000000001,6.393800000000009,2,6
Yes,427.5480000000001,3.4532000000000025,2,3
Yes,468.6050000000002,4.924640000000003,3,4
Yes,416.5260000000001,-0.24492999999999643,5,5
No,526.7460000000002,7.238100000000008,0,5
Yes,376.46000000000004,2.2396699999999994,4,3
Yes,429.52100000000024,0.8108700000000015,5,5
No,438.5730000000003,0.3700700000000037,6,5
No,679.7230000000004,-0.9878599999999909,9,8
No,480.6450000000004,5.574000000000006,0,5
No,723.7320000000003,-1.289659999999991,10,9
No,737.7590000000002,-1.2012599999999916,9,10
Yes,384.24500000000006,0.36059999999999964,4,6
No,521.6430000000004,2.142170000000001,4,5
Yes,369.446,3.373300000000002,2,5
No,625.771,1.131500000000004,4,8
No,500.9900000000001,3.776270000000002,4,5
No,511.97000000000025,2.26487,6,7
No,681.8559999999998,3.8695600000000026,3,9
Yes,445.5260000000001,1.3653700000000002,4,7
No,515.0170000000002,3.8187700000000024,4,5
Yes,458.56200000000024,3.246570000000001,4,5
No,460.3440000000002,-1.7247999999999948,6,6
Yes,444.5350000000002,3.9850400000000015,4,4
Yes,480.9970000000001,-0.06092999999999743,5,5
Yes,411.91100000000006,2.8485200000000006,2,5
No,630.192,3.0109000000000012,0,8
No,461.54400000000015,-0.4279299999999959,6,6
No,438.9110000000001,6.506820000000003,2,3
No,731.7730000000005,3.546570000000001,6,8
No,688.8110000000003,2.6292700000000035,3,9
No,539.5550000000004,3.6132000000000017,2,7
Yes,491.42300000000023,2.1477000000000013,3,6
No,673.8400000000003,2.729670000000003,3,8
No,582.7710000000004,2.7295000000000016,3,7
No,693.8740000000001,3.8742700000000054,3,7
No,712.7040000000001,4.0278700000000045,3,7
Yes,493.46100000000035,3.0586200000000012,2,6
Yes,432.9290000000002,4.3263200000000035,0,6
No,657.8410000000003,3.0294900000000036,3,7
No,518.4710000000002,2.8162800000000026,2,7
No,629.7870000000001,2.3309700000000024,3,7
No,678.2590000000001,3.374470000000004,3,7
No,712.7040000000002,4.027870000000004,3,7
No,678.2590000000001,3.374470000000004,3,7
No,659.8130000000002,2.4266700000000023,4,8
No,629.8059999999999,2.004070000000004,3,5
No,535.6490000000002,0.1346700000000075,5,5
Yes,491.03800000000024,3.0843000000000016,0,6
No,615.7600000000001,2.288470000000003,3,7
No,678.2590000000001,3.374470000000004,3,7
No,593.2190000000003,3.3791000000000007,3,7
Yes,374.4890000000001,-0.28279999999999617,4,4
No,693.8740000000001,3.8742700000000054,3,7
No,571.7220000000003,4.3472000000000035,3,5
Yes,349.2400000000001,-0.29659999999999687,4,5
No,665.82,3.4416700000000047,3,7
No,603.7490000000001,1.9887700000000035,4,7
No,643.8140000000002,2.7210700000000028,3,7
No,685.8950000000002,3.844470000000004,3,7
No,568.7440000000004,2.4819000000000013,3,7
No,719.9120000000001,4.310470000000007,3,7
No,581.7430000000003,1.8883700000000028,3,7
No,536.6330000000003,0.7339700000000065,5,5
No,510.68000000000046,1.9795000000000018,4,5
No,591.5400000000002,3.713700000000001,3,7
No,678.2590000000001,3.374470000000004,3,7
No,589.7410000000003,1.1276700000000073,4,5
No,534.0630000000001,1.9382000000000001,1,7
Yes,477.01100000000025,2.7421000000000006,1,6
No,567.7160000000005,1.498270000000002,3,7
No,599.5850000000002,4.467000000000005,2,7
No,643.8329999999999,2.3941700000000044,3,5
Yes,466.56400000000014,-1.110529999999994,5,6
No,558.7450000000001,4.778300000000005,2,6
No,573.5530000000003,3.9613700000000023,5,5
Yes,499.5750000000003,4.578860000000003,3,6
No,707.854,2.671370000000003,6,8
No,570.6760000000003,-0.6583999999999932,5,9
No,655.8470000000001,2.1260000000000012,5,8
Yes,372.47200000000004,3.864840000000002,4,3
No,575.5250000000003,3.8256700000000015,5,7
No,638.7760000000002,1.2032500000000017,6,9
No,714.874,2.403950000000001,6,9
No,690.8520000000002,1.9272700000000047,6,9
No,703.8909999999998,2.6310200000000012,5,8
No,724.309,3.1856700000000044,6,8
No,593.7140000000003,0.11730000000000551,5,8
Yes,372.47200000000004,3.864840000000002,4,3
Yes,372.47200000000004,3.864840000000002,4,3
No,656.7910000000002,0.1649700000000065,7,9
No,707.854,2.671370000000003,6,8
No,574.5410000000004,3.356370000000001,5,6
Yes,372.47200000000004,3.864840000000002,4,3
Yes,455.5400000000002,1.7006399999999988,3,6
No,629.7650000000002,0.28187000000000695,7,9
No,725.8439999999999,2.810470000000003,6,8
Yes,406.4900000000002,1.808339999999999,3,6
Yes,372.47200000000004,3.864840000000002,4,3
Yes,461.54700000000025,3.206120000000001,3,5
No,541.6340000000002,0.009270000000003442,5,8
No,757.861,3.5510700000000046,6,8
No,568.9800000000002,5.233500000000004,2,5
Yes,372.47200000000004,3.864840000000002,4,3
No,588.5680000000004,3.664790000000001,5,6
No,689.8640000000001,2.532270000000003,6,8
No,703.8909999999997,2.6310200000000012,5,8
No,530.5850000000004,1.0317700000000003,4,6
Yes,391.47100000000006,4.460290000000003,2,5
Yes,417.5090000000002,4.994490000000003,2,5
No,634.7890000000002,-0.6200599999999918,7,9
No,558.7450000000001,4.778300000000005,2,6
No,607.7150000000001,-0.32022999999999446,4,10
No,625.7770000000002,1.3593700000000033,4,8
No,480.5990000000002,-1.8624599999999947,8,8
No,625.7770000000002,1.3593700000000033,4,8
Yes,385.20500000000004,2.36667,3,3
Yes,452.5110000000002,3.62427,4,4
Yes,429.52400000000034,2.46237,2,4
No,607.7150000000001,-0.32022999999999446,4,10
No,542.7270000000001,3.4110000000000023,3,7
Yes,259.30899999999997,1.6039699999999997,3,3
No,501.58700000000044,3.0433700000000012,3,5
No,634.7890000000002,-0.6200599999999918,7,9
No,447.5430000000002,2.1004699999999996,6,6
Yes,327.38700000000006,4.491570000000003,4,2
Yes,460.7070000000005,3.715200000000002,3,4
Yes,344.21200000000005,3.8954900000000015,4,2
Yes,94.11699999999999,0.6638000000000001,1,2
Yes,341.414,4.799990000000003,4,2
No,637.6560000000002,4.158320000000004,4,6
No,511.49500000000046,1.213670000000001,6,5
No,537.6390000000004,-0.14452999999999516,5,8
Yes,448.61100000000016,2.770500000000003,3,4
Yes,252.27700000000002,2.21957,4,3
Yes,383.4730000000001,3.3976000000000015,1,5
Yes,251.28900000000002,2.8245700000000005,4,2
Yes,347.37800000000004,2.648440000000001,5,4
Yes,465.5760000000002,-0.3212299999999974,5,6
Yes,479.6030000000001,0.06887000000000226,5,6
No,537.6420000000002,3.3852400000000014,4,6
Yes,120.15499999999996,0.9706700000000004,2,1
Yes,403.8910000000001,4.026700000000003,2,5
No,515.4730000000002,3.156670000000001,4,8
No,552.0160000000002,3.0302000000000007,3,8
No,543.9930000000003,1.8018000000000012,5,8
No,579.0600000000002,1.682700000000001,4,9
No,508.6450000000003,0.9125700000000025,6,6
No,518.6830000000001,4.152800000000004,2,6
No,524.6590000000004,1.1251000000000029,4,8
No,539.6620000000003,0.9084700000000026,4,7
No,634.7779999999999,4.405800000000004,2,6
No,502.6160000000004,0.8507000000000029,4,6
No,586.6970000000003,1.3386700000000051,4,6
No,506.57900000000024,1.1198000000000032,4,6
No,536.6370000000003,0.18547000000000624,4,6
Yes,488.5890000000002,0.9807000000000035,4,6
Yes,457.60000000000014,1.5006000000000022,3,7
No,553.9920000000002,1.8201999999999998,3,10
No,533.6330000000003,0.8469700000000036,4,6
No,504.58800000000025,0.6863000000000026,5,7
Yes,463.6480000000003,2.228300000000001,3,7
No,1329.4220000000003,-0.75990000000001,15,17
No,555.7670000000004,2.2089000000000008,3,8
Yes,411.73900000000015,0.6577999999999993,4,5
No,748.8899999999998,3.0165400000000044,8,8
Yes,388.4720000000001,-0.5852999999999968,4,5
No,589.7220000000003,2.0616700000000017,4,7
Yes,493.63300000000027,3.9304400000000026,3,5
Yes,416.4850000000001,2.39902,3,5
Yes,494.6370000000004,1.188300000000002,4,6
Yes,482.5780000000003,0.258100000000005,5,7
Yes,426.4230000000002,4.238690000000002,2,5
Yes,415.4970000000001,3.0040200000000006,3,4
Yes,402.49900000000014,-0.32459999999999645,4,5
No,505.6160000000003,1.4753000000000014,4,8
No,526.5000000000002,3.1468700000000007,4,9
Yes,416.4850000000001,2.3990199999999993,3,5
No,691.834,3.7111700000000036,5,7
No,546.5730000000001,0.8686700000000004,4,10
No,521.6840000000003,1.9438000000000006,4,8
Yes,417.4730000000001,1.7940199999999993,3,6
No,731.811,-1.7442299999999868,9,9
Yes,416.4850000000001,2.3990199999999993,3,5
Yes,385.20500000000004,2.36667,3,3
No,561.0600000000003,2.5833200000000005,3,6
No,561.7120000000002,2.3206700000000016,5,7
Yes,371.17800000000005,2.688970000000001,3,3
No,561.7120000000002,2.3206700000000016,5,7
Yes,478.6180000000002,3.2719700000000023,3,4
Yes,412.3610000000002,3.508200000000002,2,3
No,540.7290000000003,6.748500000000008,0,6
No,576.7020000000003,-0.17572999999999217,6,7
Yes,479.0210000000004,2.3697,3,5
Yes,459.95500000000027,3.0684200000000006,2,4
No,526.6820000000001,0.780000000000006,4,7
No,526.7460000000003,7.108300000000008,0,5
Yes,443.5510000000001,2.4304000000000006,3,5
No,512.6400000000002,0.2356700000000045,5,8
Yes,386.5400000000002,1.4418000000000009,3,4
No,496.80500000000023,-1.3029999999999962,6,6
Yes,480.5910000000001,-0.7204299999999944,5,6
No,659.6329999999999,4.694000000000004,2,7
No,687.6430000000001,4.420500000000004,2,8
Yes,493.6330000000004,2.9190700000000014,4,5
No,733.759,7.293000000000008,2,6
No,708.5030000000002,5.442500000000005,2,6
No,753.7490000000004,7.099500000000007,2,6
Yes,434.5440000000002,2.5434400000000004,3,6
No,784.6270000000002,5.2176000000000045,4,8
Yes,465.6190000000003,3.589100000000002,2,4
No,735.731,6.283400000000007,2,7
Yes,407.4780000000002,1.203339999999999,3,7
Yes,442.47000000000014,2.35764,3,6
No,657.661,5.847700000000006,2,6
Yes,443.45800000000014,1.7526399999999995,3,7
No,657.661,5.703600000000005,2,6
Yes,478.61800000000034,3.4144700000000014,3,4
No,733.759,7.437100000000008,2,6
Yes,418.4980000000001,-0.8295999999999946,5,5
Yes,452.8240000000001,2.3461,2,6
Yes,432.4060000000002,2.0011199999999993,2,6
No,707.721,6.856800000000008,2,6
Yes,443.3890000000002,1.564379999999999,2,7
No,677.6510000000003,5.510100000000005,2,6
Yes,457.6400000000003,3.3884000000000016,2,4
No,699.7420000000001,7.018000000000008,2,6
Yes,490.9880000000004,1.5209000000000001,3,5
No,519.0420000000005,2.3010999999999995,3,5
Yes,474.5460000000002,3.03149,4,5
No,526.7030000000001,2.3420000000000014,3,5
No,545.5850000000002,1.4736700000000005,4,9
No,533.0690000000004,2.6911999999999994,3,5
Yes,217.28999999999996,0.6279000000000001,2,3
Yes,351.45400000000006,2.7567700000000013,4,3
Yes,468.82300000000015,1.5844999999999994,2,6
Yes,414.50600000000026,3.0044200000000005,2,5
Yes,485.27800000000013,2.0987999999999993,2,6
Yes,462.5310000000002,3.756020000000002,2,5
Yes,432.50500000000017,3.7474200000000017,2,4
Yes,467.83500000000015,2.1895,2,5
No,652.8370000000001,3.5070000000000014,3,8
Yes,127.191,0.36576999999999993,2,1
No,613.7560000000002,3.175700000000001,4,8
No,627.7830000000001,3.1837000000000018,4,8
No,568.7150000000001,3.584900000000003,3,6
Yes,474.5870000000004,0.820290000000002,4,5
No,666.864,3.6315000000000017,4,8
Yes,245.28199999999998,1.92627,3,3
No,565.7400000000001,3.217500000000001,4,7
Yes,396.53500000000025,2.4450200000000004,3,4
No,583.7300000000002,3.1671000000000005,4,7
No,610.8000000000001,3.7364000000000015,3,7
Yes,371.178,2.688970000000001,3,3
Yes,245.28199999999998,1.92627,3,3
Yes,441.51300000000015,1.392219999999999,3,6
Yes,383.4730000000001,3.681720000000002,2,5
No,522.7580000000003,7.742700000000009,0,4
Yes,453.59000000000026,1.2684200000000008,3,7
No,613.825,4.531170000000004,3,6
Yes,449.5360000000001,2.8229700000000006,5,5
Yes,469.56700000000035,1.7430199999999991,3,5
Yes,430.42000000000013,4.0268700000000015,5,5
Yes,447.5200000000001,2.9475700000000016,5,4
No,551.6410000000004,0.34020000000000467,8,8
No,597.1640000000003,0.9510700000000061,6,7
No,520.6780000000002,1.1209000000000067,4,7
No,548.6920000000003,0.2551700000000068,6,7
Yes,359.35400000000004,0.7601999999999995,3,7
Yes,447.45100000000014,3.0460700000000003,4,8
Yes,436.00400000000025,0.6084700000000027,5,5
No,547.7290000000003,2.794070000000003,5,7
Yes,383.358,3.5125400000000013,4,5
No,577.6790000000003,0.826500000000004,7,8
No,562.7190000000004,0.297670000000007,6,7
No,605.6930000000002,-0.24889999999999463,8,8
Yes,468.5350000000002,1.9174699999999993,4,6
No,592.7450000000003,0.09660000000000624,5,8
Yes,450.9710000000001,0.10337000000000396,5,5
Yes,355.34400000000005,4.536890000000002,2,4
Yes,398.4130000000001,4.602890000000002,2,5
Yes,422.9610000000002,0.3246000000000031,4,4
Yes,433.42400000000015,2.70387,5,8
No,593.7220000000002,1.3664000000000038,8,8
Yes,456.4490000000002,4.247290000000003,2,6
No,627.7390000000004,1.563000000000002,8,8
No,530.6510000000002,0.19167000000000356,5,6
No,548.7170000000002,1.8622700000000016,5,8
Yes,431.4080000000001,3.5397700000000016,4,7
Yes,433.5520000000002,2.5276000000000014,3,4
Yes,498.6570000000002,0.7090700000000034,5,8
Yes,347.37800000000004,3.2343400000000004,4,5
Yes,416.26800000000014,4.541140000000002,4,5
Yes,416.26800000000003,4.541140000000001,4,5
Yes,436.42400000000015,3.0558700000000005,4,7
Yes,391.38700000000006,2.9325400000000004,5,6
Yes,445.4350000000002,3.754570000000001,4,7
Yes,347.378,3.2343400000000004,4,5
Yes,397.3850000000001,3.8209600000000004,4,5
Yes,441.43800000000016,3.8208900000000003,3,6
No,558.6610000000002,0.6740700000000035,5,6
Yes,442.42200000000014,3.944290000000001,3,6
Yes,398.36900000000014,3.63579,3,5
Yes,459.5160000000002,4.955140000000004,4,4
No,587.6430000000005,5.219540000000004,3,6
Yes,391.5190000000002,3.936340000000002,4,4
No,651.6420000000003,5.586440000000004,5,6
Yes,448.48900000000015,4.293370000000002,4,5
Yes,463.5820000000003,4.113040000000003,4,6
No,592.5710000000005,3.5340700000000025,5,7
No,575.5880000000002,4.446640000000002,5,6
No,603.6420000000005,4.925140000000003,4,7
No,702.7050000000002,4.119870000000002,7,9
No,576.5720000000002,3.9959700000000025,4,6
Yes,475.51500000000016,4.660740000000003,5,5
Yes,229.63099999999997,-1.0823299999999998,5,6
No,668.6880000000004,3.015500000000002,6,9
No,512.5540000000002,3.623170000000001,4,6
No,559.5890000000002,4.7410400000000035,4,5
Yes,477.48700000000025,3.742270000000002,5,5
Yes,409.5090000000002,4.075440000000002,4,4
Yes,476.4990000000002,4.210070000000003,4,5
No,548.5620000000001,4.079270000000002,4,6
No,640.6340000000004,2.2353000000000014,6,9
No,654.6610000000004,2.6254000000000017,6,9
Yes,457.5300000000002,1.1401200000000005,2,8
Yes,493.6730000000005,4.0968000000000035,2,4
Yes,418.2950000000001,2.73207,5,3
Yes,429.52000000000015,3.7878700000000025,3,4
No,520.6080000000003,-0.15239999999999498,3,7
Yes,369.42500000000007,1.9781699999999998,5,4
No,627.8560000000004,2.9437000000000033,6,7
Yes,215.03500000000003,3.099800000000001,0,2
No,576.716,1.1063000000000032,2,8
No,533.6510000000002,-0.49099999999999455,3,7
No,609.7740000000002,2.6865000000000023,2,8
No,617.7500000000002,1.5399200000000015,3,9
No,559.7140000000002,1.5333000000000008,2,8
No,577.6600000000003,-1.0361999999999925,4,8
No,517.6290000000002,5.4813700000000045,3,4
Yes,339.39900000000006,1.9695699999999994,5,3
No,602.6740000000001,-0.8520999999999936,3,10
Yes,394.26200000000006,2.715370000000001,5,3
No,564.7300000000001,1.0427000000000022,2,8
Yes,471.60200000000026,0.125500000000004,4,6
Yes,458.56200000000024,3.246570000000001,4,5
No,558.6650000000001,-0.3996999999999953,2,9
Yes,462.98400000000015,2.871870000000002,2,5
No,538.6490000000002,2.1339000000000015,4,6
No,505.0210000000003,2.9298000000000006,1,6
Yes,456.97400000000016,2.1358699999999997,4,4
Yes,426.52000000000015,4.226110000000001,4,3
Yes,350.15700000000004,3.799400000000002,0,5
No,569.5840000000004,3.1045700000000007,4,5
Yes,465.53500000000025,2.29132,3,5
No,2095.223000000001,-58.90980000000009,0,63
No,550.7010000000002,0.920970000000005,4,7
Yes,315.71200000000005,3.1460000000000017,0,5
Yes,350.1570000000001,3.799400000000002,0,5
No,520.6560000000003,0.166370000000005,4,6
Yes,315.71200000000005,3.1460000000000017,0,5
Yes,214.25,-0.5594299999999999,4,4
No,2095.223000000001,-58.90980000000009,0,63
Yes,329.7390000000001,3.4544200000000025,0,5
Yes,314.72400000000005,3.751000000000002,0,4
No,592.6150000000005,3.590300000000002,3,7
No,475.7840000000002,7.366100000000002,2,3
No,548.6060000000002,3.861600000000002,3,5
No,553.6660000000005,4.998600000000004,3,4
No,482.15300000000053,5.199800000000004,2,3
No,548.6060000000002,3.861600000000002,3,5
Yes,494.07900000000024,4.738900000000004,2,3
