is_drug_like,mol weight,logp,hydrogen donors,hydrogen acceptors
No,457.4320000000001,-3.1080199999999985,7,12
Yes,201.22500000000002,2.840320000000001,1,2
Yes,152.237,2.878000000000001,0,1
No,278.354,6.299400000000004,0,0
Yes,84.14299999999999,1.7480999999999998,0,1
Yes,135.191,2.2962999999999996,0,2
No,326.437,6.620600000000001,0,0
Yes,272.388,3.6092000000000026,2,2
Yes,380.913,4.481400000000002,0,1
Yes,394.42300000000023,3.7033000000000023,0,6
Yes,85.10600000000001,-0.10360000000000008,1,1
Yes,162.61899999999997,3.4932000000000016,0,0
Yes,70.135,1.9725,0,0
Yes,218.256,0.5378999999999994,2,2
No,198.39399999999995,5.707400000000006,0,0
Yes,78.542,1.6336,0,0
Yes,88.14999999999999,1.0248,1,1
Yes,103.12399999999997,1.5582799999999999,0,1
Yes,304.35200000000003,3.5847200000000026,0,6
Yes,172.312,3.5079000000000025,1,1
No,326.437,6.620600000000001,0,0
Yes,234.29899999999995,1.5305,1,2
Yes,260.38599999999997,3.727700000000003,0,5
Yes,179.219,2.0437,1,2
Yes,322.243,2.9502000000000006,1,6
Yes,116.204,1.9491,1,1
Yes,180.16699999999997,-1.039700000000001,1,3
Yes,212.249,0.9389999999999998,2,3
No,318.0300000000001,6.187900000000003,0,0
Yes,158.24099999999999,2.5199000000000007,0,2
Yes,134.22199999999998,2.811400000000001,0,0
Yes,288.44,4.506300000000004,0,5
Yes,300.314,3.784220000000002,2,4
Yes,96.94399999999999,1.9352,0,0
Yes,180.25000000000003,3.566220000000002,0,0
Yes,86.13399999999999,1.3755,0,1
Yes,169.227,3.430200000000002,1,1
Yes,253.367,3.2604000000000024,0,3
Yes,353.4900000000001,4.198300000000004,0,5
Yes,226.101,3.3918000000000026,0,0
Yes,188.657,4.007000000000002,0,0
Yes,86.134,0.9449,1,1
Yes,168.15200000000002,-0.4773,2,3
Yes,156.269,2.439500000000001,1,1
Yes,88.106,0.5678,0,2
Yes,116.20399999999998,1.9475000000000002,1,1
Yes,214.06199999999998,2.4074999999999998,1,1
Yes,266.098,1.5771999999999997,1,3
Yes,346.33900000000017,2.1756,1,7
Yes,157.216,2.8516400000000006,0,1
Yes,110.19999999999999,2.5900000000000007,0,0
Yes,236.27099999999993,1.2491999999999999,2,3
No,228.29399999999998,5.146200000000003,0,0
Yes,261.11899999999997,1.5785200000000001,1,2
No,360.88200000000006,7.274000000000001,0,0
Yes,108.13999999999999,1.70062,1,1
Yes,128.259,3.468700000000003,0,0
Yes,156.228,3.456640000000002,0,0
No,242.321,5.454620000000004,0,0
Yes,86.13399999999999,1.3755,0,1
No,429.77200000000016,8.580799999999998,0,0
Yes,116.15999999999998,1.3496000000000001,0,2
Yes,394.43900000000014,0.6204999999999998,4,6
Yes,109.12799999999999,0.9743999999999999,2,2
Yes,260.253,1.1077,1,4
No,366.84400000000016,5.505100000000005,1,3
Yes,229.71499999999997,1.803,1,5
Yes,123.11499999999998,-0.4245000000000001,1,3
Yes,237.09699999999998,1.1349999999999998,2,2
Yes,223.102,4.660400000000002,0,0
Yes,238.15899999999996,0.07349999999999995,1,6
Yes,284.09799999999996,4.693900000000003,0,3
Yes,152.237,2.401700000000001,0,1
Yes,244.25,0.8664999999999998,2,3
Yes,130.18699999999998,1.7397,0,2
Yes,130.18699999999998,1.5956000000000001,0,2
Yes,380.444,3.5630000000000024,1,4
No,257.547,5.313800000000001,0,0
Yes,122.993,1.7913000000000001,0,0
Yes,342.2260000000001,3.653400000000003,0,4
Yes,257.27299999999997,0.8516999999999999,0,6
Yes,146.15299999999996,0.7282199999999999,0,4
Yes,76.12400000000001,-0.8113000000000001,2,1
Yes,106.16799999999999,2.30344,0,0
Yes,134.22199999999998,2.811400000000001,0,0
Yes,236.74,3.7268,0,0
No,451.46900000000005,6.627980000000005,0,5
Yes,89.09399999999998,0.6731,0,2
Yes,154.253,2.6477000000000013,0,1
Yes,273.723,3.458700000000001,1,3
Yes,192.00100000000003,2.901600000000001,0,2
Yes,254.35500000000002,1.5159999999999998,2,3
Yes,202.25599999999997,4.487200000000002,0,0
Yes,102.17699999999998,1.8214000000000001,0,1
Yes,156.22799999999998,3.456640000000002,0,0
Yes,268.356,4.828600000000005,2,2
Yes,265.914,4.043559999999999,0,2
No,291.992,5.967200000000002,0,0
Yes,120.15099999999995,1.7579,0,1
Yes,120.19499999999995,2.8100000000000014,0,0
Yes,330.4680000000001,3.695900000000003,1,3
Yes,267.93,4.2434,0,2
Yes,150.13,-2.5823000000000005,4,5
Yes,84.93299999999999,1.4215,0,0
Yes,156.22799999999998,3.4022000000000023,0,0
Yes,60.05200000000001,-0.2108000000000001,0,2
Yes,139.10999999999999,1.3004000000000002,1,3
Yes,126.115,-0.6283800000000002,2,2
Yes,58.123999999999995,1.6622999999999999,0,0
Yes,268.22900000000004,-1.8566000000000003,4,8
Yes,370.91499999999996,2.4730799999999995,1,2
Yes,327.1230000000001,3.8595000000000006,2,4
Yes,72.151,2.1965000000000003,0,0
Yes,94.11299999999999,1.3922,1,1
Yes,193.249,3.5752000000000015,1,1
Yes,180.16699999999997,-1.0397,1,3
Yes,129.16199999999998,2.2348,0,1
Yes,367.86,4.331900000000004,0,5
Yes,162.276,3.809400000000003,0,0
Yes,188.657,4.007000000000002,0,0
Yes,84.16199999999999,2.3626000000000005,0,0
Yes,114.23199999999999,2.9345000000000017,0,0
Yes,250.339,4.9536,0,0
Yes,139.10999999999999,1.3003999999999998,1,3
Yes,140.26999999999998,3.9230000000000036,0,0
Yes,218.20499999999998,0.044299999999999784,0,6
Yes,209.29299999999998,1.89922,1,4
No,434.29400000000015,6.317080000000003,0,4
Yes,79.10199999999998,1.0816,0,1
Yes,179.101,3.351700000000002,0,0
Yes,107.15599999999999,1.69844,0,1
Yes,380.45600000000013,1.8737,3,5
Yes,225.313,2.6579000000000006,1,3
Yes,160.16899999999998,0.5027,0,4
