is_drug_like,mol weight,logp,hydrogen donors,hydrogen acceptors
Yes,404.54700000000025,4.195500000000004,1,5
Yes,346.33900000000017,2.1756,1,7
Yes,240.21499999999997,2.7221000000000024,1,5
Yes,348.48400000000004,2.228999999999999,0,3
Yes,166.21999999999997,2.395300000000001,2,2
No,252.31599999999997,5.737200000000003,0,0
No,650.9760000000001,3.952700000000001,3,4
Yes,296.41,3.6126000000000023,2,2
Yes,194.274,3.220600000000002,2,2
Yes,308.38100000000003,3.7878000000000025,0,2
Yes,136.23799999999997,3.4750000000000023,0,0
Yes,167.197,0.5976899999999998,3,4
No,543.875,6.4737000000000045,2,2
Yes,376.36900000000014,-1.7235599999999995,5,8
Yes,272.38800000000003,3.609200000000002,2,2
Yes,394.47100000000023,2.1097,0,5
Yes,215.72400000000002,2.4512400000000003,1,2
Yes,238.286,3.443200000000002,0,2
Yes,304.35200000000003,3.5847200000000026,0,6
Yes,350.591,4.718100000000002,0,5
No,280.4519999999999,5.884500000000005,1,1
Yes,118.17599999999997,0.7938000000000001,1,2
Yes,151.165,2.21164,0,2
No,380.8710000000001,5.867800000000005,0,3
Yes,241.46099999999998,2.3222,2,3
Yes,278.337,1.4764399999999998,2,5
Yes,254.377,3.4094000000000024,0,2
Yes,286.412,3.4356000000000027,0,4
Yes,116.11599999999999,0.44019999999999987,1,2
No,604.4830000000003,-6.161699999999996,1,12
Yes,286.718,2.4478999999999997,2,3
Yes,384.51600000000013,4.425900000000004,0,4
Yes,300.343,2.0128,2,5
Yes,198.13799999999998,0.18999999999999984,2,5
Yes,274.404,3.4891000000000023,1,2
Yes,396.953,3.1496000000000004,1,2
No,602.9,10.147399999999996,1,4
Yes,458.5510000000003,3.9154000000000027,1,6
Yes,278.335,3.6130200000000023,0,5
Yes,310.999,4.201100000000001,0,2
Yes,291.82200000000006,3.7760000000000025,0,2
Yes,403.90600000000035,3.990700000000003,0,5
No,822.9529999999997,4.3354200000000045,6,15
Yes,116.189,0.005600000000000049,2,1
Yes,111.14799999999998,-0.08910000000000035,2,2
No,316.135,-1.1939999999999997,0,12
Yes,132.16199999999998,1.8987,0,1
Yes,308.42100000000005,3.722800000000003,1,2
Yes,285.365,2.1955,1,3
Yes,293.407,3.7676000000000025,2,3
Yes,214.22,2.6114000000000006,1,3
Yes,376.4090000000001,-0.04819999999999869,5,6
Yes,261.11899999999997,-2.4244999999999974,0,2
Yes,330.801,3.6797000000000004,1,1
No,328.4960000000002,6.081100000000006,0,2
Yes,223.272,1.7946999999999997,2,3
Yes,347.93,4.384200000000003,1,2
Yes,253.71800000000002,1.7157999999999998,2,6
Yes,337.456,-0.7679999999999998,4,6
Yes,103.16900000000001,-1.506599999999999,3,3
No,822.9420000000002,2.2456000000000014,8,13
No,256.42999999999995,5.552300000000005,1,1
No,338.44700000000006,5.1520000000000055,0,3
Yes,151.165,1.3505999999999998,2,2
Yes,392.4060000000002,2.0816,3,5
Yes,162.38099999999997,2.6728000000000005,0,1
Yes,112.12799999999999,1.2033,1,1
Yes,150.22099999999998,2.689700000000001,1,1
Yes,270.354,1.78302,2,3
Yes,311.40700000000015,1.77392,2,4
Yes,203.285,2.9240200000000014,0,1
Yes,179.219,2.0437,1,2
Yes,461.8170000000001,3.991800000000003,1,4
Yes,147.60900000000004,0.33269999999999983,2,2
No,579.9860000000003,0.4230999999999992,6,12
Yes,242.702,3.060500000000001,0,3
Yes,201.661,1.3885999999999998,2,5
Yes,179.26299999999998,1.8456,1,2
Yes,299.69100000000003,2.7426000000000013,0,5
Yes,200.16899999999998,-0.015300000000000036,1,3
Yes,293.374,2.9287600000000014,0,4
Yes,151.16899999999998,0.6818,3,2
