smiles,dataset,num_atoms,num_bonds,tox21_avg_bond_importance,tox21_max_bond_importance,esol_avg_bond_importance,esol_max_bond_importance,chembl_avg_bond_importance,chembl_max_bond_importance
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)[C@@H](C)CC,Tox21,29,62,0.003088057,0.004197905,1.2351214,2.1174757,0.017299388,0.045476377
COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OC,Tox21,25,52,0.0078092664,0.010746415,1.5223573,2.6862671,5.2426444e-06,1.3740197e-05
CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,Tox21,17,34,0.014846332,0.021647885,2.1188154,3.277986,2.2601048e-06,4.2805677e-06
[Na+].CCCCCCCCCC(CC)C1=CC=C(C=C1)S([O-])(=O)=O,Tox21,23,44,0.0031745543,0.006018607,1.6073182,2.2114198,3.139984e-12,7.455713e-12
CC(C)(C)C1=CC(O)=CC=C1O,Tox21,12,24,0.029310381,0.04961537,1.9672526,2.6361141,0.01687278,0.029439688
C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34,Tox21,20,48,0.027940555,0.03868951,2.2261755,2.670436,1.1158254e-09,1.8939978e-09
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,Tox21,23,48,0.015910579,0.03363672,1.1462679,1.5928913,1.6917938,7.774953
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H],Tox21,22,50,0.012679547,0.0234299,1.9620731,3.2131696,0.0010672418,0.0022501396
CCCCCCC1=C(O)C=C(O)C=C1,Tox21,14,28,0.011191462,0.016074538,2.5248315,3.092579,3.7388243e-05,5.8333753e-05
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Tox21,23,50,0.012798589,0.025848625,1.9120014,2.7115207,8.971237e-05,0.0002744834
C\C=C(C)\C=C\C=C(C)C,Tox21,10,18,0.0054406184,0.0062681963,3.6403818,4.1067133,7.8246336e-17,1.22667e-16
NC1=NC2=C(NC=N2)C(=S)N1,Tox21,11,24,0.053431034,0.0935603,2.3729517,3.0377073,0.045492977,0.078946754
CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C2=CC(Br)=C(O)C(Br)=C2,Tox21,21,44,0.023712331,0.050762825,1.6879541,2.1563158,0.49540633,2.410798
CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=N2,Tox21,27,58,0.008607086,0.014942257,1.3874892,2.1568308,0.86848307,2.0869057
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H],Tox21,20,46,0.011850052,0.018700097,1.9428996,2.4823327,3.5200362e-06,8.057328e-06
[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=C(OC)C(OC)=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H],Tox21,29,70,0.0060956166,0.008926667,1.4158733,2.301867,2.9736873e-06,6.6264124e-06
Cl.CC(N)COC1=C(C)C=CC=C1C,Tox21,14,26,0.009877266,0.013703055,2.6408572,3.2046556,0.0033470227,0.010569004
O=C(OCC1=CC=CC=C1)C=CC2=CC=CC=C2,Tox21,18,38,0.018407894,0.033147436,2.4169722,2.676168,0.022420943,0.05813386
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,Tox21,19,38,0.0041795284,0.0077689392,1.7434801,3.3121943,2.4295412e-08,7.451375e-08
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,Tox21,18,36,0.007654754,0.010536265,1.7462016,2.9248948,8.466687e-09,1.857814e-08
CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Tox21,20,38,0.0015127868,0.0024447828,1.8710694,2.644238,9.51568e-10,1.3954973e-09
CCCOCC(C)O,Tox21,8,14,0.0026793971,0.0035575558,1.7873135,2.2706432,3.8082923e-15,8.41803e-15
