Learning Rate,Hidden Dim,Dropout,Layers,Val Acc,Test Acc,PR-AUC,Best Epoch
0.0001,32,0.0,2,1.0000,0.5733,1.0000,0
0.0001,32,0.0,3,1.0000,0.5733,1.0000,0
0.0001,32,0.0,4,1.0000,0.5733,1.0000,0
0.0001,32,0.3,2,1.0000,0.5733,1.0000,0
0.0001,32,0.3,3,1.0000,0.5733,1.0000,0
0.0001,32,0.3,4,1.0000,0.5733,1.0000,0
0.0001,32,0.5,2,1.0000,0.5733,1.0000,0
0.0001,32,0.5,3,1.0000,0.5733,1.0000,0
0.0001,32,0.5,4,1.0000,0.5733,1.0000,0
0.0001,64,0.0,2,1.0000,0.5733,1.0000,0
0.0001,64,0.0,3,1.0000,0.5733,1.0000,0
0.0001,64,0.0,4,1.0000,0.5733,1.0000,0
0.0001,64,0.3,2,1.0000,0.5733,1.0000,0
0.0001,64,0.3,3,1.0000,0.5733,1.0000,0
0.0001,64,0.3,4,1.0000,0.5733,1.0000,0
0.0001,64,0.5,2,1.0000,0.5733,1.0000,0
0.0001,64,0.5,3,1.0000,0.5733,1.0000,0
0.0001,64,0.5,4,1.0000,0.5733,1.0000,0
0.0001,128,0.0,2,1.0000,0.5733,1.0000,0
0.0001,128,0.0,3,1.0000,0.5733,1.0000,0
0.0001,128,0.0,4,1.0000,1.0000,1.0000,0
0.0001,128,0.3,2,1.0000,0.5733,1.0000,0
0.0001,128,0.3,3,1.0000,1.0000,1.0000,0
0.0001,128,0.3,4,1.0000,0.8933,1.0000,0
0.0001,128,0.5,2,1.0000,0.5733,1.0000,0
0.0001,128,0.5,3,1.0000,0.5733,1.0000,0
0.0001,128,0.5,4,1.0000,0.5733,1.0000,0
0.001,32,0.0,2,1.0000,1.0000,1.0000,0
0.001,32,0.0,3,1.0000,0.7333,1.0000,0
0.001,32,0.0,4,1.0000,1.0000,1.0000,1
0.001,32,0.3,2,1.0000,1.0000,1.0000,0
0.001,32,0.3,3,1.0000,0.8933,1.0000,0
0.001,32,0.3,4,1.0000,1.0000,1.0000,0
0.001,32,0.5,2,1.0000,1.0000,1.0000,0
0.001,32,0.5,3,1.0000,1.0000,1.0000,0
0.001,32,0.5,4,1.0000,0.5733,1.0000,0
0.001,64,0.0,2,1.0000,0.8933,1.0000,0
0.001,64,0.0,3,1.0000,1.0000,1.0000,0
0.001,64,0.0,4,1.0000,1.0000,1.0000,0
0.001,64,0.3,2,1.0000,1.0000,1.0000,0
0.001,64,0.3,3,1.0000,1.0000,1.0000,0
0.001,64,0.3,4,1.0000,1.0000,1.0000,0
0.001,64,0.5,2,1.0000,1.0000,1.0000,0
0.001,64,0.5,3,0.8800,1.0000,1.0000,0
0.001,64,0.5,4,1.0000,0.8933,1.0000,0
0.001,128,0.0,2,1.0000,1.0000,1.0000,0
0.001,128,0.0,3,1.0000,1.0000,1.0000,0
0.001,128,0.0,4,1.0000,1.0000,1.0000,0
0.001,128,0.3,2,1.0000,0.8933,1.0000,0
0.001,128,0.3,3,1.0000,1.0000,1.0000,0
0.001,128,0.3,4,1.0000,0.8933,1.0000,0
0.001,128,0.5,2,1.0000,0.8933,1.0000,0
0.001,128,0.5,3,1.0000,1.0000,1.0000,0
0.001,128,0.5,4,1.0000,0.5733,1.0000,0
0.01,32,0.0,2,1.0000,1.0000,1.0000,0
0.01,32,0.0,3,1.0000,1.0000,1.0000,0
0.01,32,0.0,4,0.5533,0.5733,0.7767,0
0.01,32,0.3,2,1.0000,1.0000,1.0000,0
0.01,32,0.3,3,1.0000,0.8933,1.0000,0
0.01,32,0.3,4,1.0000,0.8933,1.0000,0
0.01,32,0.5,2,1.0000,1.0000,1.0000,0
0.01,32,0.5,3,1.0000,1.0000,1.0000,0
0.01,32,0.5,4,1.0000,1.0000,1.0000,0
0.01,64,0.0,2,1.0000,1.0000,1.0000,0
0.01,64,0.0,3,0.5533,0.5733,0.7767,0
0.01,64,0.0,4,0.5533,0.5733,0.7767,0
0.01,64,0.3,2,0.5533,1.0000,1.0000,0
0.01,64,0.3,3,1.0000,1.0000,1.0000,0
0.01,64,0.3,4,0.5533,0.5733,0.7767,0
0.01,64,0.5,2,1.0000,1.0000,1.0000,0
0.01,64,0.5,3,0.5533,1.0000,1.0000,0
0.01,64,0.5,4,0.5533,0.5733,0.7767,0
0.01,128,0.0,2,1.0000,1.0000,1.0000,0
0.01,128,0.0,3,0.5533,0.5733,0.7767,0
0.01,128,0.0,4,0.5533,0.5733,0.7767,0
0.01,128,0.3,2,0.5533,1.0000,1.0000,0
0.01,128,0.3,3,0.5533,0.5733,0.7767,0
0.01,128,0.3,4,0.5533,0.5733,0.7767,0
0.01,128,0.5,2,0.5533,0.6800,1.0000,0
0.01,128,0.5,3,0.5533,0.5733,0.7767,0
0.01,128,0.5,4,0.5533,0.5733,0.7767,0
